"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-10-31,"75243","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",83,1220.84,0.0243,0.028,0.0135,14619
2019-10-31,"11214","NY","New York-Newark-Jersey City","Kings County","New York",84,2134.48,0.0114,0.0241,0.0501,19197
2019-10-31,"28027","NC","Charlotte-Concord-Gastonia","Cabarrus County","Concord",85,1256.29,-0.0036,-0.0113,-0.0122,24365
2019-10-31,"11207","NY","New York-Newark-Jersey City","Kings County","New York",86,2286.63,0.0135,0.0178,0.0125,15498
2019-10-31,"94501","CA","San Francisco-Oakland-Hayward","Alameda County","Alameda",87,3336.45,0.0222,0.0158,0.0374,14770
2019-10-31,"02169","MA","Boston-Cambridge-Newton","Norfolk County","Quincy",88,2160.27,-0.0023,0.0186,0.0188,18202
2019-10-31,"33411","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Royal Palm Beach",89,1587.38,0.025,0.0341,0.0365,32948
2019-10-31,"11229","NY","New York-Newark-Jersey City","Kings County","New York",90,2171,0.0273,0.0396,0.0623,22182
2019-10-31,"60619","IL","Chicago-Naperville-Elgin","Cook County","Chicago",91,1216.32,0.0002,0.0022,-0.0262,17063
2019-10-31,"78745","TX","Austin-Round Rock","Travis County","Austin",92,1535.68,0.0101,0.029,0.0468,21684
2019-10-31,"94110","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",93,4393.68,-0.0069,0.0009,0.0171,10481
2019-10-31,"23462","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",94,1394.01,0.0055,0.0117,0.0093,23684
2019-10-31,"33025","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Miramar",95,1620.21,0.0106,0.0139,0.0348,29602
2019-10-31,"10458","NY","New York-Newark-Jersey City","Bronx County","New York",96,1821.49,0.0403,0.0719,0.0976,4565
2019-10-31,"75067","TX","Dallas-Fort Worth-Arlington","Denton County","Lewisville",97,1477.58,0.0079,-0.0047,-0.0466,15419
2019-10-31,"90034","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",98,3157.24,-0.002,0.0091,0.0213,8079
2019-10-31,"80134","CO","Denver-Aurora-Lakewood","Douglas County","Parker",99,2028.22,0.0001,0.006,0.0055,25497
2019-10-31,"33139","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Miami Beach",100,2303.71,0.0068,0.011,0.0162,42922
2019-10-31,"60611","IL","Chicago-Naperville-Elgin","Cook County","Chicago",101,2316.46,0.0217,0.0455,0.0053,35619
2019-10-31,"95630","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Folsom",102,1887.58,0.0089,0.0193,0.0297,24280
2019-10-31,"48197","MI","Ann Arbor","Washtenaw County","Ypsilanti",103,1285.82,-0.031,-0.0834,-0.1049,16692
2019-10-31,"44107","OH","Cleveland-Elyria","Cuyahoga County","Lakewood",104,1102.35,0.0032,0.0084,0.0341,18990
2019-10-31,"66062","KS","Kansas City","Johnson County","Olathe",105,1306.99,0.0064,0.0006,0.012,24250
2019-10-31,"11211","NY","New York-Newark-Jersey City","Kings County","New York",106,3054.03,0.0019,0.0327,0.0898,11530
2019-10-31,"44035","OH","Cleveland-Elyria","Lorain County","Elyria",107,827.92,0.0227,0.0355,0.0054,22255
2019-10-31,"85281","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Tempe",108,1474.38,0.0129,0.0331,0.0703,16630
2019-10-31,"11377","NY","New York-Newark-Jersey City","Queens County","New York",109,2161.66,0.0156,0.0226,-0.0119,18983
2019-10-31,"10453","NY","New York-Newark-Jersey City","Bronx County","New York",110,1867.39,0.024,0.0557,0.0849,2222
2019-10-31,"90805","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Long Beach",111,2223.25,0.0047,0.005,0.002,16488
2019-10-31,"07302","NJ","New York-Newark-Jersey City","Hudson County","Jersey City",112,2512.41,-0.0033,0.0136,0.0242,15012
2019-10-31,"90650","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Norwalk",113,2357.8,0.0027,0.0101,0.0023,23581
2019-10-31,"90044","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",114,2303.49,-0.0039,-0.0028,-0.018,14783
2019-10-31,"85710","AZ","Tucson","Pima County","Tucson",115,1196.66,0.0092,0.0215,0.0595,18299
2019-10-31,"92683","CA","Los Angeles-Long Beach-Anaheim","Orange County","Westminster",116,2639.44,0.0023,0.0085,0.0083,18714
2019-10-31,"85225","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Chandler",117,1432.48,0.0206,0.0387,0.0666,23322
2019-10-31,"11234","NY","New York-Newark-Jersey City","Kings County","New York",118,2206.73,0.0018,0.0091,0.0551,27633
2019-10-31,"30281","GA","Atlanta-Sandy Springs-Roswell","Henry County","Stockbridge",119,1278.66,0.017,0.0264,0.0462,23671
2019-10-31,"37075","TN","Nashville-Davidson--Murfreesboro--Franklin","Sumner County","Hendersonville",120,1484.49,0.0159,0.0177,-0.0086,24786
2019-10-31,"11355","NY","New York-Newark-Jersey City","Queens County","New York",121,2150.81,0.01,0.0134,0.0004,21912
2019-10-31,"11238","NY","New York-Newark-Jersey City","Kings County","New York",122,2659.42,-0.0035,0.0054,0.039,16734
2019-10-31,"78641","TX","Austin-Round Rock","Williamson County","Leander",123,1538.9,0.0261,0.0478,0.0441,30307
2019-10-31,"10314","NY","New York-Newark-Jersey City","Richmond County","New York",124,2148.33,0.0242,0.0305,0.063,29239
2019-10-31,"19143","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",125,1199.28,0.0021,0.0136,0.0269,24306
2019-10-31,"79938","TX","El Paso","El Paso County","El Paso",126,945.59,-0.0149,-0.0144,-0.0586,30985
